parcellation_index,organ,category,division,structure,substructure
804,brain,grey,OLF,DP,DP
806,brain,grey,Isocortex,AUDp,AUDp4
809,brain,grey,Isocortex,ACAv,ACAv6b
810,brain,grey,MB,IC,ICd
811,brain,grey,Isocortex,VISp,VISp2/3
817,brain,grey,Isocortex,ILA,ILA5
818,brain,grey,MB,IC,ICe
820,brain,grey,HY,DMH,DMH
821,brain,grey,Isocortex,AId,AId6b
822,brain,fiber tracts,cm,IIIn,IIIn-unassigned
824,brain,grey,MB,SCs,SCzo
826,brain,grey,Isocortex,ECT,ECT1
828,brain,grey,Isocortex,SSp-n,SSp-n2/3
829,brain,grey,MY,DMX,DMX
831,brain,fiber tracts,cm,VIIIn,tb
832,brain,grey,MB,SCs,SCsg
833,brain,grey,HPF,PAR,PAR
834,brain,grey,Isocortex,MOp,MOp6a
836,brain,grey,CB,DN,DN
837,brain,grey,Isocortex,AUDp,AUDp5
838,brain,fiber tracts,cm,IIn,IIn-unassigned
839,brain,grey,Isocortex,VISC,VISC6b
840,brain,fiber tracts,cbf,cbp,scp
841,brain,grey,MB,SCs,SCop
842,brain,grey,MY,PARN,PARN
844,brain,grey,Isocortex,SSp-ul,SSp-ul2/3
847,brain,grey,Isocortex,VISC,VISC6a
849,brain,grey,MY,PAS,PAS
852,brain,grey,Isocortex,SSs,SSs6a
853,brain,fiber tracts,eps,rust,rust-unassigned
856,brain,fiber tracts,cbf,cbp,scp
857,brain,grey,P,PB,PB-unassigned
859,brain,grey,Isocortex,VISpl,VISpl4
862,brain,grey,MB,DR,DR
863,brain,grey,Isocortex,SSs,SSs1
864,brain,grey,MB,PBG,PBG
868,brain,grey,Isocortex,SSp-m,SSp-m1
870,brain,grey,P,DTN,DTN
872,brain,grey,Isocortex,MOp,MOp6b
874,brain,fiber tracts,mfbs,mfbc,amc
878,brain,grey,Isocortex,PERI,PERI2/3
879,brain,grey,Isocortex,SSp-n,SSp-n6a
883,brain,grey,Isocortex,SSs,SSs6b
887,brain,grey,Isocortex,VISC,VISC1
888,brain,grey,P,PCG,PCG
890,brain,fiber tracts,cm,In,aco
892,brain,grey,Isocortex,VISpl,VISpl5
893,brain,grey,MY,ECU,ECU
895,brain,grey,Isocortex,VISal,VISal2/3
896,brain,grey,Isocortex,RSPagl,RSPagl6a
897,brain,grey,TH,PCN,PCN
898,brain,fiber tracts,mfbs,mfbc,act
900,brain,grey,Isocortex,ORBm,ORBm6a
901,brain,fiber tracts,cm,IVn,IVn
902,brain,grey,CB,LING,LING
904,brain,grey,HY,PD,PD
906,brain,fiber tracts,cm,IIn,bsc
909,brain,grey,Isocortex,ACAd,ACAd6a
914,brain,fiber tracts,lfbs,cst,cpd
917,brain,grey,Isocortex,ACAd,ACAd6b
919,brain,grey,Isocortex,SSp-n,SSp-n6b
920,brain,grey,TH,PF,PF
921,brain,grey,P,PG,PG
925,brain,grey,Isocortex,ACAd,ACAd1
926,brain,grey,CB,DEC,DEC
929,brain,grey,MY,AMB,AMBd
930,brain,fiber tracts,mfbs,mfbc,cing
933,brain,grey,Isocortex,MOp,MOp2/3
934,brain,grey,CB,FOTU,FOTU
935,brain,grey,Isocortex,SSp-ul,SSp-ul6a
936,brain,grey,HY,PH,PH
939,brain,fiber tracts,cm,von,von
940,brain,grey,Isocortex,SSp-m,SSp-m4
941,brain,grey,CB,PYR,PYR
942,brain,grey,CTXsp,EPd,EPd
944,brain,grey,Isocortex,AUDp,AUDp6a
945,brain,grey,MY,LRN,LRNm
946,brain,fiber tracts,lfbs,cc,fa
947,brain,grey,CB,UVU,UVU
949,brain,grey,Isocortex,AUDv,AUDv1
951,brain,grey,OLF,PIR,PIR
952,brain,grey,Isocortex,MOs,MOs2/3
953,brain,grey,MY,LRN,LRNp
954,brain,fiber tracts,lfbs,cc,ee
955,brain,grey,Isocortex,RSPagl,RSPagl2/3
956,brain,grey,CTXsp,EPv,EPv
958,brain,grey,CB,NOD,NOD
959,brain,grey,Isocortex,ORBvl,ORBvl1
960,brain,grey,MY,PGRNd,PGRNd
961,brain,fiber tracts,lfbs,cc,fp
963,brain,grey,Isocortex,VISl,VISl2/3
964,brain,grey,Isocortex,SSp-m,SSp-m5
965,brain,grey,MB,EW,EW
966,brain,grey,CB,CENT,CENT2
967,brain,grey,Isocortex,ECT,ECT6a
968,brain,grey,MY,PGRNl,PGRNl
970,brain,grey,HY,PMd,PMd
971,brain,grey,Isocortex,SSp-bfd,SSp-bfd1
972,brain,grey,HPF,FC,FC
974,brain,grey,CB,CENT,CENT3
976,brain,fiber tracts,lfbs,cc,ccs
978,brain,grey,Isocortex,ECT,ECT5
979,brain,grey,CB,FN,FN
980,brain,grey,Isocortex,AUDv,AUDv4
986,brain,grey,Isocortex,AId,AId1
987,brain,brain-unassigned,brain-unassigned,brain-unassigned,brain-unassigned
988,brain,grey,STR,FS,FS
994,brain,grey,HY,PMv,PMv
995,brain,grey,Isocortex,AUDp,AUDp6b
996,brain,grey,Isocortex,SSp-tr,SSp-tr1
997,brain,grey,CB,SIM,SIM
999,brain,fiber tracts,fiber tracts-unassigned,fiber tracts-unassigned,fiber tracts-unassigned
1000,brain,grey,Isocortex,VISC,VISC4
1004,brain,grey,Isocortex,ACAd,ACAd5
1005,brain,fiber tracts,cm,In,onl
1009,brain,grey,TH,PO,PO
1010,brain,grey,Isocortex,MOs,MOs6a
1011,brain,grey,PAL,GPe,GPe
1012,brain,grey,Isocortex,AUDv,AUDv5
1014,brain,grey,CB,PRM,PRM
1015,brain,grey,Isocortex,SSp-ul,SSp-ul6b
1018,brain,grey,TH,POL,POL
1019,brain,grey,Isocortex,SSp-ll,SSp-ll1
1020,brain,grey,PAL,GPi,GPi
1022,brain,grey,CB,COPY,COPY
1024,brain,grey,Isocortex,SSs,SSs4
1026,brain,grey,HPF,POST,POST
1027,brain,grey,Isocortex,SSp-bfd,SSp-bfd6a
1028,brain,grey,MY,GR,GR
1030,brain,grey,CB,PFL,PFL
1032,brain,fiber tracts,eps,tsp,tspc
1033,brain,grey,TH,PP,PP
1034,brain,grey,Isocortex,ECT,ECT6b
1035,brain,grey,Isocortex,VISam,VISam6a
1036,brain,grey,Isocortex,SSp-bfd,SSp-bfd4
1037,brain,grey,MY,GRN,GRN
1038,brain,grey,CB,FL,FL
1040,brain,fiber tracts,eps,tsp,tspd
1041,brain,grey,MB,PPN,PPN
1043,brain,grey,Isocortex,ILA,ILA6a
1045,brain,grey,CB,AN,ANcr1
1047,brain,grey,Isocortex,VISC,VISC5
1049,brain,fiber tracts,eps,tsp,dtd
1050,brain,grey,MB,PPT,PPT
1051,brain,grey,Isocortex,SSp-bfd,SSp-bfd6b
1053,brain,grey,CB,AN,ANcr2
1055,brain,grey,Isocortex,VISam,VISam2/3
1058,brain,grey,MY,PPY,PPY
1059,brain,grey,Isocortex,SSp-bfd,SSp-bfd5
1061,brain,grey,TH,MG,MGd
1063,brain,grey,Isocortex,VISal,VISal1
1066,brain,grey,TH,PR,PR
1068,brain,grey,TH,MG,MGv
1070,brain,grey,Isocortex,ILA,ILA6b
1073,brain,grey,HPF,PRE,PRE
1074,brain,grey,Isocortex,MOs,MOs6b
1075,brain,grey,Isocortex,SSp-tr,SSp-tr4
1077,brain,grey,TH,MG,MGm
1078,brain,grey,HPF,HPF-unassigned,HPF-unassigned
1079,brain,grey,Isocortex,SSs,SSs5
1080,brain,grey,CB,CUL,"CUL4, 5"
1081,brain,fiber tracts,lfbs,lfbst,em
1082,brain,grey,P,PRNc,PRNc
1083,brain,grey,Isocortex,SSp-ll,SSp-ll4
1085,brain,grey,TH,AM,AMd
1086,brain,grey,HY,HY-unassigned,HY-unassigned
1087,brain,grey,MY,MDRN,MDRNd
1090,brain,grey,Isocortex,AId,AId5
1091,brain,grey,Isocortex,SSp-m,SSp-m6a
1093,brain,grey,TH,AM,AMv
1094,brain,grey,STR,IA,IA
1095,brain,grey,Isocortex,VISC,VISC2/3
1096,brain,grey,MY,MDRN,MDRNv
1097,brain,fiber tracts,lfbs,cc,ccg
1098,brain,grey,HY,PS,PS
1100,brain,grey,Isocortex,SSp-tr,SSp-tr5
1102,brain,grey,TH,IAD,IAD
1103,brain,grey,Isocortex,VISal,VISal4
1104,brain,fiber tracts,cm,VIIn,gVIIn
1108,brain,grey,TH,IAM,IAM
1109,brain,grey,HPF,ENTl,ENTl1
1110,brain,fiber tracts,cbf,cbp,icp
1112,brain,grey,Isocortex,ORBvl,ORBvl5
1113,brain,grey,HY,TMd,TMd
